"titulo","telefono","correo","pagina","descripcion"
"Instacrops","56978775796","mbustamante@instacrops.com","www.instacrops.cl","La empresa chilena Instacrops se define como un asesor agrícola virtual, que a través del uso de sensores y una potente plataforma de software, entrega recomendaciones a los agricultores, con el fin de prevenir riesgos y aumentar su producción."
"Agrosat","+562 321 09 450","contacto@agrosat.cl","www.agrosat.cl","Empresa especializada en el desarrollo, análisis y mapeo de las principales propiedades y variables biológicas, químicas y físicas que afectan e interactúan en el crecimiento, desarrollo y producción de cultivos."
"Rowsis","+56 45 2405220","enzo.aguero@rowsis.com","www.rowsis.com","Tecnologías que proveen plataformas de software para sectores de salud, negocios y Smart City."
"Austral 3D","+569 9969 9299","francisco@austral3d.com","www.austral3D.com","Esta empresa da soluciones innovadoras asociadas a tecnologías de simulación 3D y realidad virtual en el área de entrenamiento y seguridad laboral."
"Indexa","+56 2 2345 8600","ignacio.bascunan@indexa.cl","www.tecnologiacreativa.cl","Empresa de servicios tecnológicos con desarrollos a la medida en el ámbito de transacciones electrónicas vía Web, principalmente para la industria bancaria y financiera. Cuenta con 132 colaboradores desde hace 20 años y con alrededor de 60 servicios tecnológicos (plataformas web) orientados a esta industria."
"Ki Teknology","+56 2 2321 3105","mlewit@kiteknology","www.kiteknology.com","Compañía con 21 años de trayectoria en la industria TI en Chile, y 8 años exportando servicios. Están catalogados como partner tecnológico de importantes empresas e instituciones del ámbito público y privado, cuyo compromiso apunta a construir en conjunto el éxito de sus clientes, apoyándolos en el campo tecnológico."
"Tecnova Soluciones Informáticas","+569 9949 2616","cristian.ferrer@tecnovags.com","www.tecnovags.com","Con 18 años de experiencia, 170 ingenieros y contando con las certificaciones relevantes de la actividad, Tecnova Soluciones Informáticas se dedica al desarrollo de software a medida, utilizando metodologías ágiles o tradicionales, para realizar con éxito proyectos complejos en diversas industrias como telecomunicaciones, retail y gobierno."
"Linets","56979582269","jpreyest@linets.cl","linets.tech","Compañía que destaca por tener un equipo de expertos preocupados por la continuidad operativa de sus sistemas y ser capaces de implementar y administrar su Cloud privada. Su oferta incluye Cloud Services, IaaS, PaaS y Soporte y monitoreo 24×7 de servidores."
"EXE","+569 9 8857259","fgelcich@exe.cl","www.exe.cl","EXE, empresa chilena dedicada a la producción de nuevas tecnologías, ofrece diversas soluciones como servicios de desarrollo de software, innovación en inteligencia artificial, big data, internet de las cosas (IoT) y experiencia de usuarios (UX). Todo esto, con el fin de enfrentar los desafíos de la industria, tanto nacional como internacional."
"GTMAR","+56 9 81365676","contact@gtmar.com","www.gtmar.com","GTMAR es una empresa de tecnología con interés en múltiples áreas. Fundada en el año 2012 en Santiago, ejecuta diversos proyectos de desarrollo de software a medida (backend/frontend) y desarrollo de prototipos funcionales, además de productos de suscripción (SAAS). La empresa tiene expertise en el desarrollo de plataformas, con foco en inteligencia de datos, sistemas de información geográfica (GIS), procesamiento de Big Data (HTC, map/reduce), procesamiento digital de imágenes y levantamiento, diseño, implementación y automatización de flujos de trabajo."
